sexo,idade,ano,observado,previsao_combinada,ARIMA,ETS,FDM,LC,CNNGRU,CNN,GRU
Ambos,10,2018,0.000295022901989,0.0003174422655878997,0.0003084369865615,0.0002994566727953,0.0003234412431813,0.0003142154550077,0.00032258929484287,0.00032448176322913,0.00034206206909168
Ambos,15,2018,0.0011948755911128,0.0012799727726297053,0.0013431560053728,0.0013419141040283,0.0013043250371335,0.0012691513461726,0.0011707240411671,0.0011982100326474,0.0012460028858737
Ambos,20,2018,0.0016520172752751,0.0017205424639625258,0.0017184696067195,0.0017184680607986,0.0017852366026189,0.0016482689010836,0.0016562879496594,0.0016895286166025,0.0017322615456381
Ambos,25,2018,0.001571512507876,0.0016795042480458378,0.0016732351462411,0.0016731803520282,0.001723311631126,0.0016000343464327,0.001668677794472,0.0016919073307641,0.001728219793047
Ambos,30,2018,0.0016939364614579,0.0018110810908255268,0.0017498134900033,0.0017446386603429,0.0018826212832675,0.0017429064470191,0.0018241890206446,0.0018559486127555,0.0018465530323868
Ambos,35,2018,0.002058252441133,0.0021353018267582713,0.002099412730001,0.0020981732269623,0.0022284114013808,0.002114605630447,0.0021494238094778,0.0021584077296235,0.0021671040247506
Ambos,40,2018,0.0027284766213911,0.0028239957220262285,0.0027744908730697,0.0027765734050251,0.0029950642282991,0.0028272201167351,0.0027985478401213,0.0028987966413272,0.0028964897165261
Ambos,45,2018,0.0038340840107233,0.003956990507834441,0.0039247320906559,0.0039066153850193,0.0040607321802668,0.0039526728565049,0.0039403217600061,0.0039779954308315,0.0040637982670321
Ambos,50,2018,0.0056168778641693,0.005672696562299627,0.0056280262905748,0.0056275331133187,0.0060192293284072,0.0057145601237712,0.005764637724994,0.0057770325957113,0.005881194039043
Ambos,55,2018,0.0081788399057795,0.008401955535609991,0.0084649432539335,0.008434866247457,0.0087967972224584,0.0082897768391267,0.00840202594166,0.0084617774251456,0.0082709968819957
Ambos,60,2018,0.0123813984622388,0.012328194177302597,0.0127214805239485,0.0122824424930715,0.0126041027476556,0.0119136922826346,0.0123626337270152,0.0127877365235892,0.0121581143510849
Ambos,65,2018,0.0182768538871936,0.018094712019470494,0.0178980328360713,0.0178651564876705,0.0185983581863062,0.0179289821683052,0.018229155945344,0.0191301043572451,0.0186491795042029
Ambos,70,2018,0.0261473913239304,0.02628660549990383,0.0261451842773765,0.0262169811618608,0.0274911056255393,0.0262523478072956,0.0261756906442099,0.0266712184201673,0.0275613308709347
Ambos,75,2018,0.0426250881213848,0.04285238771388022,0.0428154724855229,0.0426875649182373,0.0424188621882945,0.0428561211004599,0.0424213349057182,0.0434735254355544,0.0448291203527689
Ambos,80,2018,0.0704233050160332,0.07084318964144692,0.0698596048252356,0.0698603027144671,0.073789816569604,0.0710839653840213,0.0710214507978699,0.0734541341522266,0.0743317042898537
Ambos,85,2018,0.117121511420011,0.12169436970679753,0.120067413838393,0.12218057945687,0.120019106450873,0.119014860595501,0.1205869515868811,0.1225825011482326,0.1234719612465726
Ambos,90,2018,0.198683310698221,0.1932264332502111,0.193935078431796,0.196228686753152,0.195424938958831,0.192635158239577,0.192136383764055,0.1925568243755802,0.1915304908722152
Ambos,0,2019,0.0122142516006901,0.011181244893099657,0.0107993512615135,0.0107767418816484,0.011096554567432,0.0103564150978037,0.0122142516006901,0.0122142516006901,0.0122142516006901
