

IDADE	ANO	Mulheres	Homens	Ambos
65	2018	0.0139593239896324	0.0233861321914028	0.0182768538871936
70	2018	0.0202665618718869	0.033387336665686	0.0261473913239304
75	2018	0.0354036264134805	0.0522667739342522	0.0426250881213848
80	2018	0.06206141626521	0.0828584909899789	0.0704233050160332
85	2018	0.108082008616847	0.132574546138651	0.117121511420011
90	2018	0.189484833941721	0.216723711732269	0.198683310698221
0	2019	0.0111103224066213	0.0132675217298844	0.0122142516006901
1	2019	0.000453608731871651	0.000561001189870819	0.000508587059912377
5	2019	0.000199794835854554	0.000243222707605791	0.000222035871097871
10	2019	0.000235980942429496	0.000334704808808973	0.000286485622376721
15	2019	0.00043494563935497	0.00166243520131769	0.00105965218089672
20	2019	0.000563196357972924	0.00248868207339464	0.00152903372806701
25	2019	0.000649037758306511	0.00234412921090513	0.00149028211112217
30	2019	0.000866968182597344	0.00244345690282026	0.00164399084509165
35	2019	0.00122439416012776	0.00281326519263482	0.00200083941999951
40	2019	0.00179304912418174	0.00360208140826479	0.00267096818683157
45	2019	0.00262000457348761	0.00497435134113222	0.00375370134920245
50	2019	0.00387039092366506	0.00737330116016342	0.00553706178159526
55	2019	0.0058013197946986	0.0106650953251627	0.00808833815876149
60	2019	0.00902671271826711	0.0159239497138927	0.0122329184919654
65	2019	0.0139665044856012	0.0233002936618778	0.0182329517186817
70	2019	0.0200358084091665	0.0329968630644726	0.0258402760536951
75	2019	0.0350597318216265	0.0518617482735885	0.0422636281466819
80	2019	0.0618696550980123	0.0822478993861486	0.0700901170451768
85	2019	0.108013218777689	0.133128731071637	0.117280748146842
90	2019	0.189993298255459	0.2182456976121	0.199488869045786
