"IDADE","INTERVALO DE IDADE","SEXO","ANO","LOCAL","nMx","nAx","nqx","lx","ndx","nLx","Sx","Tx","ex"
45,5,"Mulheres",2024,"Brasil",0.0025456792015702,2.64644103589894,0.0126525892076336,95747.0483893445,1211.44807111379,475884.02747941,0.984665137858105,3584150.97723335,37.4335401197832
50,5,"Mulheres",2024,"Brasil",0.00371896331132396,2.65209494169379,0.0184338563120226,94535.6003182307,1742.65567263708,468586.411522483,0.97758032617684,3108266.94975394,32.8793273570034
55,5,"Mulheres",2024,"Brasil",0.00548294762698281,2.65735463953079,0.0270670723679138,92792.9446455936,2511.63334795409,458080.857018184,0.966552993853134,2639680.53823146,28.4469961408516
60,5,"Mulheres",2024,"Brasil",0.0083609887840999,2.66414075225026,0.0410041294599247,90281.3112976395,3701.90657626018,442759.423777735,0.948465280441185,2181599.68121328,24.1644660434869
65,5,"Mulheres",2024,"Brasil",0.0131067628243007,2.64627623001603,0.0635726179790421,86579.4047213794,5504.07942120513,419941.941041327,0.92371841487108,1738840.25743554,20.0837631424158
70,5,"Mulheres",2024,"Brasil",0.0192357442517164,2.65890884829791,0.0920341800212137,81075.3253001742,7461.7010839547,387908.104116579,0.879009743047056,1318898.31639422,16.2675673703573
75,5,"Mulheres",2024,"Brasil",0.0340642435354351,2.66741380922361,0.157784046945305,73613.6242162195,11615.055539146,340975.002925385,0.794655327034667,930990.212277638,12.646982432805
80,5,"Mulheres",2024,"Brasil",0.0604005945031838,2.61485761505,0.263973840412425,61998.5686770735,16366.0002737605,270957.602460318,0.663472947174517,590015.209352253,9.51659404308852
85,5,"Mulheres",2024,"Brasil",0.108155580937894,2.51125523789395,0.426087291538302,45632.568403313,19443.4574769039,179773.039063688,0.436549904530006,319057.606891935,6.99188360541132
90,0,"Mulheres",2024,"Brasil",0.1880259337754,5.31841528410924,1,26189.1109264091,26189.1109264091,139284.567828246,0,139284.567828246,5.31841528410924
0,1,"Homens",2024,"Brasil",0.0134037918767264,0.080566770885818,0.0132406159602844,1e+05,1324.06159602845,98782.6137712175,0.985878679342449,7330166.3971919,73.301663971919
1,4,"Homens",2024,"Brasil",0.000581437748950594,1.61308383885013,0.00232252769163239,98675.9384039716,229.177599441042,394156.725900007,0.997892854473341,7231383.78342068,73.2841653232216
5,5,"Homens",2024,"Brasil",0.000257050604585686,2.36515004929957,0.00128438312337459,98446.7608045305,126.443358128221,491900.644746722,0.998713180062077,6837227.05752067,69.4510108981262
10,5,"Homens",2024,"Brasil",0.000315144139299173,2.84310956498206,0.00157465035723599,98320.3174464023,154.820122990539,491267.657189585,0.996316044237894,6345326.41277395,64.5372856554598
15,5,"Homens",2024,"Brasil",0.00133856085074573,2.90948975858402,0.00667412820650539,98165.4973234117,655.169114591816,489457.848873145,0.99073430222282,5854058.75558436,59.6345856253123
20,5,"Homens",2024,"Brasil",0.00228008173263521,2.62227744587312,0.0113389357370043,97510.3282088199,1105.663345254,484922.680370818,0.98796960046301,5364600.90671122,55.0157199268455
25,5,"Homens",2024,"Brasil",0.00246287065456313,2.51303228998371,0.0122393860566157,96404.6648635659,1179.93391092384,479088.866781409,0.987727301613168,4879678.2263404,50.6166193642832
30,5,"Homens",2024,"Brasil",0.00248779055295716,2.52430420532643,0.0123628100617208,95224.7309526421,1177.24526194598,473209.153618911,0.986926440849979,4400589.35955899,46.2126730685911
35,5,"Homens",2024,"Brasil",0.0028373363111785,2.57391738132228,0.0140896935678345,94047.4856906961,1325.10025420721,467022.625758743,0.984096697270235,3927380.20594008,41.7595449479263
40,5,"Homens",2024,"Brasil",0.00364943288626645,2.60532221037039,0.0180890800557003,92722.3854364889,1677.26265311615,459595.423559652,0.979153338252787,3460357.58018134,37.3195487140648
45,5,"Homens",2024,"Brasil",0.00487883583055947,2.62645835174984,0.0241149254216873,91045.1227833728,2195.54634592941,450014.393224137,0.971070666984195,3000762.15662169,32.9590654049808
50,5,"Homens",2024,"Brasil",0.00703121997098159,2.63975997581943,0.0345821956338116,88849.5764374433,3072.61343434096,436995.77698065,0.958243888095424,2550747.76339755,28.7086091535109
55,5,"Homens",2024,"Brasil",0.0102375948668227,2.63556449045512,0.0499781954950837,85776.9630031024,4286.9778259436,418748.532415219,0.939815544062891,2113751.9864169,24.6424204403279
60,5,"Homens",2024,"Brasil",0.0149310917200729,2.63387276102243,0.072107966155361,81489.9851771588,5876.07709315544,393546.379817347,0.911432498109959,1695003.45400168,20.800144340642
65,5,"Homens",2024,"Brasil",0.0226003837414701,2.6095167054973,0.107209818243715,75613.9080840033,8106.55334238296,358690.960079055,0.874475563427255,1301457.07418433,17.2118742062436
70,5,"Homens",2024,"Brasil",0.031662396778158,2.5964903117958,0.147116304070029,67507.3547416204,9931.43252713152,313666.479411395,0.820205905276969,942766.114105278,13.9653837380186
75,5,"Homens",2024,"Brasil",0.049291140067683,2.58630518094774,0.220251543938447,57575.9222144889,12681.1857614211,257271.098700663,0.731327341222882,629099.634693883,10.9264360951143
80,5,"Homens",2024,"Brasil",0.0784378055269162,2.53867517468434,0.328725064849504,44894.7364530678,14758.0251519361,188149.388586246,0.601014357613903,371828.53599322,8.28223006458505
85,5,"Homens",2024,"Brasil",0.130029746563626,2.44263357792198,0.487904155103246,30136.7113011317,14703.8266649691,113080.483916611,0.384358619293563,183679.147406975,6.09486368872894
90,0,"Homens",2024,"Brasil",0.218600237924746,4.57456043732328,1,15432.8846361626,15432.8846361626,70598.6634903636,0,70598.6634903636,4.57456043732328
0,1,"Ambos",2024,"Brasil",0.0123881091806961,0.0821208461517134,0.0122488303378121,1e+05,1224.88303378121,98875.7053973898,0.986896385358908,7660571.09845871,76.6057109845871
