"idade","ano","previsto","inferior","superior","sexo","observado"
0,"2014",0.0128222253897913,0.0120822055583535,0.0136075705013095,"Ambos",0.0125961118672796
1,"2014",0.00059505128814147,0.000537916019321608,0.000658255234646808,"Ambos",0.000512628272294209
5,"2014",0.000248058395484079,0.000231361683084142,0.000265960061968243,"Ambos",0.00022241249852167
10,"2014",0.000342352063403312,0.000333899323117792,0.00035101878680706,"Ambos",0.000295022901989037
15,"2014",0.00118392772944324,0.00113146540605995,0.00123882255793012,"Ambos",0.00119487559111281
20,"2014",0.00164614569386595,0.00160387951569689,0.00168952568999922,"Ambos",0.00165201727527514
25,"2014",0.00166022215820699,0.00162883693098443,0.00169221213134921,"Ambos",0.00157151250787609
30,"2014",0.0019611204674421,0.00185820955904078,0.00206973076266255,"Ambos",0.00169393646145791
35,"2014",0.0023775387051202,0.00228380117105699,0.00247512365173561,"Ambos",0.00205825244113301
40,"2014",0.00323492704511676,0.00308484552679036,0.00339231021337913,"Ambos",0.00272847662139115
45,"2014",0.00445575570046984,0.00433563820056621,0.00457920101812847,"Ambos",0.00383408401072333
50,"2014",0.00651012379263997,0.00624496595110613,0.00678654009122184,"Ambos",0.00561687786416938
55,"2014",0.00934512032266484,0.00894371828357079,0.00976453764263876,"Ambos",0.00817883990577953
60,"2014",0.0130207801189796,0.0128131842532151,0.0132317393987582,"Ambos",0.0123813984622388
65,"2014",0.0197998273113868,0.0194591613689421,0.0201464571945246,"Ambos",0.0182768538871936
70,"2014",0.0297275429947013,0.0281256961122017,0.031420620096881,"Ambos",0.0261473913239304
75,"2014",0.0444485299364271,0.043172087674336,0.0457627119729006,"Ambos",0.0426250881213848
80,"2014",0.075173089142947,0.0736887079239904,0.0766873716543168,"Ambos",0.0704233050160332
85,"2014",0.11995468295627,0.117002225829384,0.122981642965682,"Ambos",0.117121511420011
90,"2014",0.192131269825796,0.189366143585983,0.194936772465409,"Ambos",0.198683310698221
0,"2015",0.0124686222910392,0.0116291006077348,0.01336875026545,"Ambos",0.0122142516006901
1,"2015",0.000581380046758798,0.000518142418720794,0.000652335625413056,"Ambos",0.000508587059912377
5,"2015",0.000243331618601277,0.000225045872814576,0.00026310314368619,"Ambos",0.000222035871097871
10,"2015",0.000336259068794263,0.000326663416245783,0.000346136591130579,"Ambos",0.000286485622376721
15,"2015",0.00116587027336114,0.00110769048305305,0.00122710587036982,"Ambos",0.00105965218089672
20,"2015",0.00160378168279319,0.00155667696079669,0.00165231178390832,"Ambos",0.00152903372806701
25,"2015",0.00162061654820064,0.00158481609215228,0.0016572257243646,"Ambos",0.00149028211112217
30,"2015",0.00192127676232493,0.00181000630246967,0.00203938759352005,"Ambos",0.00164399084509165
35,"2015",0.00234187594556516,0.00223701469873254,0.00245165261878882,"Ambos",0.00200083941999951
40,"2015",0.00318900388202687,0.00302326936729494,0.00336382390189789,"Ambos",0.00267096818683157
45,"2015",0.00440082652406363,0.00426297913371839,0.00454313133782778,"Ambos",0.00375370134920245
50,"2015",0.00644915155917001,0.00615262593978039,0.00675996822173616,"Ambos",0.00553706178159526
55,"2015",0.00923194125523165,0.00878713506335536,0.00969926360816669,"Ambos",0.00808833815876149
60,"2015",0.0128192376312031,0.012578381247175,0.0130647060393532,"Ambos",0.0122329184919654
65,"2015",0.0196530165672814,0.0192560780485391,0.0200581374473158,"Ambos",0.0182329517186817
70,"2015",0.0294538021259567,0.0277411685593787,0.0312721671337714,"Ambos",0.0258402760536951
75,"2015",0.0441056005310095,0.0426795263230122,0.0455793249315447,"Ambos",0.0422636281466819
80,"2015",0.0748797573575727,0.0731882282656822,0.0766103811336291,"Ambos",0.0700901170451768
85,"2015",0.119051843692258,0.115742372183897,0.122455944345142,"Ambos",0.117280748146842
90,"2015",0.191949582390403,0.188892315740246,0.195056331621857,"Ambos",0.199488869045786
